answer,company_return_id,filing_calendar_id,filing_question_id,region,tax_form_code
,3900771,3900771,1,AR,USARET1
1,3900771,3900771,2,AR,USARET1
OJMD Partnership,3900771,3900771,24,AR,USARET1
RedDogMS,3900771,3900771,26,AR,USARET1
********,3900771,3900771,27,AR,USARET1
3015 Blossom Trail Ln,3900771,3900771,28,AR,USARET1
Franklin,3900771,3900771,30,AR,USARET1
TN,3900771,3900771,31,AR,USARET1
37064-3363,3900771,3900771,32,AR,USARET1
US,3900771,3900771,33,AR,USARET1
(806) 515-4683,3900771,3900771,34,AR,USARET1
45-3991770,3900771,3900771,36,AR,USARET1
,3900732,3900732,1,HI,USHIG45
1,3900732,3900732,2,HI,USHIG45
OJMD Partnership,3900732,3900732,24,HI,USHIG45
Reddog1234,3900732,3900732,26,HI,USHIG45
********,3900732,3900732,27,HI,USHIG45
3015 Blossom Trail Ln,3900732,3900732,28,HI,USHIG45
Franklin,3900732,3900732,30,HI,USHIG45
TN,3900732,3900732,31,HI,USHIG45
37064-3363,3900732,3900732,32,HI,USHIG45
US,3900732,3900732,33,HI,USHIG45
(806) 515-4683,3900732,3900732,34,HI,USHIG45
45-3991770,3900732,3900732,36,HI,USHIG45
,3900768,3900768,1,WY,USWYF41
1,3900768,3900768,2,WY,USWYF41
OJMD Partnership,3900768,3900768,24,WY,USWYF41
merrelln1234,3900768,3900768,26,WY,USWYF41
********,3900768,3900768,27,WY,USWYF41
3015 Blossom Trail Ln,3900768,3900768,28,WY,USWYF41
Franklin,3900768,3900768,30,WY,USWYF41
TN,3900768,3900768,31,WY,USWYF41
37064-3363,3900768,3900768,32,WY,USWYF41
US,3900768,3900768,33,WY,USWYF41
(806) 515-4683,3900768,3900768,34,WY,USWYF41
45-3991770,3900768,3900768,36,WY,USWYF41
,3900773,3900773,1,CA,USCACDTFA401A2
1,3900773,3900773,2,CA,USCACDTFA401A2
OJMD Partnership,3900773,3900773,24,CA,USCACDTFA401A2
RedDogMS,3900773,3900773,26,CA,USCACDTFA401A2
********,3900773,3900773,27,CA,USCACDTFA401A2
3015 Blossom Trail Ln,3900773,3900773,28,CA,USCACDTFA401A2
Franklin,3900773,3900773,30,CA,USCACDTFA401A2
TN,3900773,3900773,31,CA,USCACDTFA401A2
37064-3363,3900773,3900773,32,CA,USCACDTFA401A2
US,3900773,3900773,33,CA,USCACDTFA401A2
(806) 515-4683,3900773,3900773,34,CA,USCACDTFA401A2
45-3991770,3900773,3900773,36,CA,USCACDTFA401A2
,4230668,4230668,1,CO,USCODR0100
1,4230668,4230668,2,CO,USCODR0100
OJMD Partnership,4230668,4230668,24,CO,USCODR0100
Mudmixer,4230668,4230668,26,CO,USCODR0100
********,4230668,4230668,27,CO,USCODR0100
3015 Blossom Trail Ln,4230668,4230668,28,CO,USCODR0100
Franklin,4230668,4230668,30,CO,USCODR0100
TN,4230668,4230668,31,CO,USCODR0100
37064-3363,4230668,4230668,32,CO,USCODR0100
US,4230668,4230668,33,CO,USCODR0100
(806) 515-4683,4230668,4230668,34,CO,USCODR0100
45-3991770,4230668,4230668,36,CO,USCODR0100
,3900731,3900731,1,GA,USGAST3SALES
1,3900731,3900731,2,GA,USGAST3SALES
OJMD Partnership,3900731,3900731,24,GA,USGAST3SALES
Mudmixer,3900731,3900731,26,GA,USGAST3SALES
********,3900731,3900731,27,GA,USGAST3SALES
3015 Blossom Trail Ln,3900731,3900731,28,GA,USGAST3SALES
Franklin,3900731,3900731,30,GA,USGAST3SALES
TN,3900731,3900731,31,GA,USGAST3SALES
37064-3363,3900731,3900731,32,GA,USGAST3SALES
US,3900731,3900731,33,GA,USGAST3SALES
(806) 515-4683,3900731,3900731,34,GA,USGAST3SALES
45-3991770,3900731,3900731,36,GA,USGAST3SALES
,3900737,3900737,1,KS,USKSCT9U
1,3900737,3900737,2,KS,USKSCT9U
OJMD Partnership,3900737,3900737,24,KS,USKSCT9U
admin@cpajain.com,3900737,3900737,26,KS,USKSCT9U
********,3900737,3900737,27,KS,USKSCT9U
3015 Blossom Trail Ln,3900737,3900737,28,KS,USKSCT9U
Franklin,3900737,3900737,30,KS,USKSCT9U
TN,3900737,3900737,31,KS,USKSCT9U
37064-3363,3900737,3900737,32,KS,USKSCT9U
US,3900737,3900737,33,KS,USKSCT9U
(806) 515-4683,3900737,3900737,34,KS,USKSCT9U
45-3991770,3900737,3900737,36,KS,USKSCT9U
,3900777,3900777,1,FL,USFLDR15
1,3900777,3900777,2,FL,USFLDR15
OJMD Partnership,3900777,3900777,24,FL,USFLDR15
7880190099513,3900777,3900777,26,FL,USFLDR15
********,3900777,3900777,27,FL,USFLDR15
3015 Blossom Trail Ln,3900777,3900777,28,FL,USFLDR15
Franklin,3900777,3900777,30,FL,USFLDR15
TN,3900777,3900777,31,FL,USFLDR15
37064-3363,3900777,3900777,32,FL,USFLDR15
US,3900777,3900777,33,FL,USFLDR15
(806) 515-4683,3900777,3900777,34,FL,USFLDR15
45-3991770,3900777,3900777,36,FL,USFLDR15
,3900735,3900735,1,IL,USILST1
1,3900735,3900735,2,IL,USILST1
OJMD Partnership,3900735,3900735,24,IL,USILST1
Reddog1234,3900735,3900735,26,IL,USILST1
********,3900735,3900735,27,IL,USILST1
3015 Blossom Trail Ln,3900735,3900735,28,IL,USILST1
Franklin,3900735,3900735,30,IL,USILST1
TN,3900735,3900735,31,IL,USILST1
37064-3363,3900735,3900735,32,IL,USILST1
US,3900735,3900735,33,IL,USILST1
(806) 515-4683,3900735,3900735,34,IL,USILST1
45-3991770,3900735,3900735,36,IL,USILST1
,3900734,3900734,1,ID,USID850
1,3900734,3900734,2,ID,USID850
OJMD Partnership,3900734,3900734,24,ID,USID850
Reddog1234,3900734,3900734,26,ID,USID850
********,3900734,3900734,27,ID,USID850
3015 Blossom Trail Ln,3900734,3900734,28,ID,USID850
Franklin,3900734,3900734,30,ID,USID850
TN,3900734,3900734,31,ID,USID850
37064-3363,3900734,3900734,32,ID,USID850
US,3900734,3900734,33,ID,USID850
(806) 515-4683,3900734,3900734,34,ID,USID850
45-3991770,3900734,3900734,36,ID,USID850
,3980271,3980271,1,MA,USMAST9
1,3980271,3980271,2,MA,USMAST9
OJMD Partnership,3980271,3980271,24,MA,USMAST9
ViniCPA,3980271,3980271,26,MA,USMAST9
********,3980271,3980271,27,MA,USMAST9
3015 Blossom Trail Ln,3980271,3980271,28,MA,USMAST9
Franklin,3980271,3980271,30,MA,USMAST9
TN,3980271,3980271,31,MA,USMAST9
37064-3363,3980271,3980271,32,MA,USMAST9
US,3980271,3980271,33,MA,USMAST9
(806) 515-4683,3980271,3980271,34,MA,USMAST9
45-3991770,3980271,3980271,36,MA,USMAST9
