city_name,code_join_key,country,county_fips,county_join_key,county_name,effective_date,end_date,is_acm,is_local_admin,is_sst,jurisdiction_code,jurisdiction_id,jurisdiction_type,name,name_join_key,place_fips,place_join_key,region,short_name,state_fips,state_join_key,tax_authority_type_id
,US|WA|Special|L0105,US,,,,2020-07-10T00:00:00Z,9999-12-31T00:00:00Z,False,False,True,L0105,8000013,Special,WA SPECIAL JURIS,US|WA|Special|WA SPECIAL JURIS,,,WA,WA SPECIAL JURIS,53,US-WA-53,
,US|WA|Special|L1312,US,,,,2020-07-10T00:00:00Z,9999-12-31T00:00:00Z,False,False,True,L1312,8000014,Special,WA SPECIAL JURIS,US|WA|Special|WA SPECIAL JURIS,,,WA,WA SPECIAL JURIS,53,US-WA-53,
,US|SC|Special|EEOJ,US,057,US-SC-45-057,LANCASTER,2010-08-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,EEOJ,2001043754,Special,CATAWBA TRIBE,US|SC|Special|CATAWBA TRIBE,,,SC,CATAWBA TRIBE,45,US-SC-45,
,US|SC|Special|EEOI,US,091,US-SC-45-091,,2015-10-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,EEOI,2001044005,Special,CATAWBA INDIAN RESERVATION,US|SC|Special|CATAWBA INDIAN RESERVATION,,,SC,CATAWBA TRIBE,45,US-SC-45,
,US|SD|Special|DXYV,US,007,US-SD-46-007,BENNETT,2010-08-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,DXYV,2001044026,Special,PINE RIDGE RESERVATION,US|SD|Special|PINE RIDGE RESERVATION,,,SD,PINE RIDGE RESERVATION,46,US-SD-46,
,US|SD|Special|DTFC0,US,031,US-SD-46-031,,2011-11-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,DTFC0,2001044080,Special,STANDING ROCK INDIAN RESV,US|SD|Special|STANDING ROCK INDIAN RESV,,,SD,STANDING ROCK INDIAN RESV,46,US-SD-46,
,US|SD|Special|BOLT0,US,041,US-SD-46-041,,2011-11-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,BOLT0,2001044090,Special,CHEYENNE RIVER INDIAN RES,US|SD|Special|CHEYENNE RIVER INDIAN RES,,,SD,CHEYENNE RIVER INDIAN RES,46,US-SD-46,
,US|SD|Special|BONU0,US,053,US-SD-46-053,,2011-11-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,BONU0,2001044116,Special,ROSEBUD INDIAN RESER,US|SD|Special|ROSEBUD INDIAN RESER,,,SD,ROSEBUD INDIAN RESER,46,US-SD-46,
,US|SD|Special|DXYX0,US,071,US-SD-46-071,,2011-11-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,DXYX0,2001044132,Special,PINE RIDGE RESERVATION,US|SD|Special|PINE RIDGE RESERVATION,,,SD,PINE RIDGE RESERVATION,46,US-SD-46,
,US|SD|Special|11860,US,,,,1900-01-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,True,11860,4611860,Special,CHEYENNE RIVER SPECIAL JURISDICTION,US|SD|Special|CHEYENNE RIVER SPECIAL JURISDICTION,,,SD,SPECIAL TAX DISTRICT,46,US-SD-46,63
