city_name,code_join_key,country,county_fips,county_join_key,county_name,effective_date,end_date,is_acm,is_local_admin,is_sst,jurisdiction_code,jurisdiction_id,jurisdiction_type,name,name_join_key,place_fips,place_join_key,region,short_name,state_fips,state_join_key,tax_authority_type_id
,US|AL|State|01,US,,,,1900-01-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,01,1,State,ALABAMA,US|AL|State|ALABAMA,,,AL,ALABAMA,01,US-AL-01,
,US|AK|State|02,US,,,,1900-01-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,02,2,State,ALASKA,US|AK|State|ALASKA,,,AK,ALASKA,02,US-AK-02,
,US|AZ|State|04,US,,,,1900-01-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,04,4,State,ARIZONA,US|AZ|State|ARIZONA,,,AZ,ARIZONA,04,US-AZ-04,
,US|AR|State|05,US,,,,1900-01-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,True,05,5,State,ARKANSAS,US|AR|State|ARKANSAS,,,AR,AR,05,US-AR-05,63
,US|IL|State|17,US,,,,1900-01-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,17,7,State,ILLINOIS,US|IL|State|ILLINOIS,,,IL,ILLINOIS,17,US-IL-17,
,US|CT|State|09,US,,,,1900-01-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,09,9,State,CONNECTICUT,US|CT|State|CONNECTICUT,,,CT,CT,09,US-CT-09,45
,US|DE|State|10,US,,,,1900-01-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,10,10,State,DELAWARE,US|DE|State|DELAWARE,,,DE,DE,10,US-DE-10,45
,US|CO|State|08,US,,,,1900-01-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,08,11,State,COLORADO,US|CO|State|COLORADO,,,CO,COLORADO,08,US-CO-08,
,US|ID|State|16,US,,,,1900-01-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,16,12,State,IDAHO,US|ID|State|IDAHO,,,ID,ID,16,US-ID-16,45
,US|DC|State|11,US,,,,1900-01-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,11,14,State,DISTRICT OF COLUMBIA,US|DC|State|DISTRICT OF COLUMBIA,,,DC,DC,11,US-DC-11,45
