country,deleted,description,effective_date,end_date,form_name_classification,legacy_return_name,major,minor,preview_image,purpose,region,revision,scope_level_guess,status,tax_form_code,tax_form_name
CA,False,Vendors Return-Retail Sales Tax,2024-05-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,CNMB2234,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/bba38ceb-900e-4d75-93ac-b58c2b5f59a7.png,,MB,18,likely_state_or_province_level,PRODUCTION,CAMB2234,CA Manitoba MB2234
IN,False,INDIA GST ANX-01,1900-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,INGSTANX01,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/1c08bdc9-9f89-4944-befb-7c4c6d780f6c.png,,IN,1,likely_state_or_province_level,PRODUCTION,ININGSTANX01,India GST ANX 01
IN,False,INDIA GST ANX-02,1900-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,INGSTANX02,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/d99998b4-ed31-4322-8fdc-71c9f202b96a.png,,IN,2,likely_state_or_province_level,PRODUCTION,ININGSTANX02,India GST ANX 02
IN,False,INDIA GSTR-3B,2017-04-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,INGSTR3B,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/87056000-6fc6-418e-8ea0-17d70a581bb0.png,,IN,8,likely_state_or_province_level,PRODUCTION,ININGSTR3B,India GSTR 3B
IN,False,INDIA GST 8,2017-04-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,INGSTR8,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a4afccc6-5388-4f5c-9753-0778a81bf7e0.png,,IN,1,likely_state_or_province_level,PRODUCTION,ININGSTR8,India GSTR 8
US,False,City of Dillingham 10% Sales Tax Report,2023-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,AKDILLINGHAM10,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/adaf9edc-9583-4b52-a7cb-4cc104f9a428.png,,AK,8,likely_state_or_province_level,PRODUCTION,USAKDILLINGHAM10,AK Dillingham 10
US,False,Sales Tax Return,2025-09-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,AL2100,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/8580c2fa-f2b6-4fcf-a8cb-471be757a8aa.png,,AL,26,likely_state_or_province_level,PRODUCTION,USAL2100,AL 2100
US,False,Sales Tax Return With Estimated Payment,2025-09-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,AL2105,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/642b3b2a-aede-4a07-a1d7-e4f3a3058d0d.png,,AL,16,likely_state_or_province_level,PRODUCTION,USAL2105,AL 2105
US,False,Rental Tax Return,2010-05-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,AL2410,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/80c2d350-58d7-44db-a0a5-5a8fbe7eb7bd.png,,AL,9,likely_state_or_province_level,PRODUCTION,USAL2410,AL 2410
US,False,Sellers Use Tax Return,2025-09-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,AL2620,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ee491ef3-9743-493e-808a-51fc73aa51e9.png,,AL,24,likely_state_or_province_level,PRODUCTION,USAL2620,AL 2620
US,False,Alabama State Simplified Sellers Use Tax Return,2021-10-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,AL2630,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ef5123a9-09f0-4727-8e2a-be53ddb19b92.png,,AL,34,likely_state_or_province_level,PRODUCTION,USAL2630,AL 2630
US,False,State-Administered Local Tax Return (Must add non-state administered local tax forms separately),2024-12-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,AL9501,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/588aaa74-5e00-4766-9968-78a9a894703e.png,,AL,106,likely_state_or_province_level,PRODUCTION,USAL9501,AL 9501
US,False,Alabama State Consumers Use Tax Return,2025-09-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,ALSU2610,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/5fcf5cce-35a0-4ebc-82fa-1efca509c994.png,,AL,10,likely_state_or_province_level,PRODUCTION,USALSU2610,AL 2610
US,False,Arkansas Excise Tax Return,2026-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,ARET1,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/e20aba60-cdf4-458f-8e34-90510026f073.png,,AR,210,likely_state_or_province_level,PRODUCTION,USARET1,AR ET1
US,False,(05/05) Sales Tax Return,2018-07-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,AZNAV600,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/881d2c23-b862-49ba-b1a4-8a55726796d1.png,,AZ,3,likely_state_or_province_level,PRODUCTION,USAZNAV600,AZ Navajo 600
US,False,"Transaction Privilege, Use and Severance Tax Return TPT-1",2016-02-01T00:00:00,2016-05-31T00:00:00,likely_official_or_near_official,AZTPT1,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ed674ba3-96a1-456d-b8ee-f7ad0d98c717.png,,AZ,30,likely_state_or_province_level,PRODUCTION,USAZTPT1,AZ TPT1
US,False,"Transaction Privilege, Use and Severance Tax Return - (TPT-2)",2026-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,AZTPT2,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/34f65731-3a60-472d-b731-876b4422f5f8.png,,AZ,347,likely_state_or_province_level,PRODUCTION,USAZTPT2,AZ TPT2
