country,deleted,description,effective_date,end_date,form_name_classification,legacy_return_name,major,minor,preview_image,purpose,region,revision,scope_level_guess,status,tax_form_code,tax_form_name
CA,False,Provincial Sales Tax Return,2017-07-01T00:00:00,9999-12-31T00:00:00,descriptive_local_label,CNBC,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/70602c49-5d8a-4d55-bd2f-dcd73b848d05.png,,BC,32,likely_state_or_province_level,PRODUCTION,CABC,CA British Columbia
CA,False,GST/HST Return for Registrants,2015-05-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,CNGSTHST,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/623946fd-d24d-44fc-b2c3-7d78bedce212.png,,CA,16,likely_state_or_province_level,PRODUCTION,CAGSTHST,CA GST HST
CA,False,Vendors Return-Retail Sales Tax,2024-05-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,CNMB2234,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/bba38ceb-900e-4d75-93ac-b58c2b5f59a7.png,,MB,18,likely_state_or_province_level,PRODUCTION,CAMB2234,CA Manitoba MB2234
CA,False,Quebec QST Return,1900-01-01T00:00:00,9999-12-31T00:00:00,descriptive_local_label,CNQC,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a8ae4cf9-57ba-4400-a8c5-aaa8982e6557.png,,QC,16,likely_state_or_province_level,PRODUCTION,CAQC,CA Quebec
CA,False,"Goods and Services Tax, Harmonized Tax, Quebec Sales Tax",2024-11-01T00:00:00,9999-12-31T00:00:00,descriptive_local_label,CNQCDETAILED,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/9f69d5f9-c2e8-4201-9746-a87a8bc40619.png,,QC,23,likely_state_or_province_level,PRODUCTION,CAQCDETAILED,CA Quebec Detailed
CA,False,Provincial Sales Tax,2022-05-01T00:00:00,9999-12-31T00:00:00,descriptive_local_label,CNSK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/d1a3cfb2-757e-46d5-9a7a-c201b53e7b80.png,,SK,18,likely_state_or_province_level,PRODUCTION,CASK,CA Saskatchewan
IN,False,Eway Bill India,2020-12-01T00:00:00,9999-12-31T00:00:00,descriptive_or_internal_label,INEWAYBILL,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/8c4d3a3a-b448-4b25-b46d-67f1105d2537.png,,IN,37,likely_state_or_province_level,PRODUCTION,INEWAYBILL,IN EWAY BILL
IN,False,Eway Consolidated Bill India,2018-10-01T00:00:00,9999-12-31T00:00:00,descriptive_or_internal_label,INEWAYCONSOLIDATED,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/0befbd12-ad6d-44a5-8c1b-b7345d42d1bf.png,,IN,12,likely_state_or_province_level,PRODUCTION,INEWAYCONSOLIDATED,IN Eway Consolidated
IN,False,INDIA E-INVOICE,2020-09-01T00:00:00,9999-12-31T00:00:00,descriptive_or_internal_label,INEINVOICE,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/78a5ed09-a974-4522-a49f-6f709658bc8e.png,,IN,40,likely_state_or_province_level,PRODUCTION,ININEINVOICE,IN E INVOICE
IN,False,INDIA GST ANX-01,1900-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,INGSTANX01,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/1c08bdc9-9f89-4944-befb-7c4c6d780f6c.png,,IN,1,likely_state_or_province_level,PRODUCTION,ININGSTANX01,India GST ANX 01
IN,False,INDIA GST ANX-02,1900-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,INGSTANX02,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/d99998b4-ed31-4322-8fdc-71c9f202b96a.png,,IN,2,likely_state_or_province_level,PRODUCTION,ININGSTANX02,India GST ANX 02
IN,False,INDIA GSTR-1,2017-04-01T00:00:00,9999-12-31T00:00:00,descriptive_or_internal_label,INGSTR1,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/0fcd4294-77bd-4c0c-926e-47a9e8068ba6.png,,IN,2,likely_state_or_province_level,PRODUCTION,ININGSTR1,India GSTR-1
IN,False,INDIA GSTR-3B,2017-04-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,INGSTR3B,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/87056000-6fc6-418e-8ea0-17d70a581bb0.png,,IN,8,likely_state_or_province_level,PRODUCTION,ININGSTR3B,India GSTR 3B
