tax_form_code,region,tax_form_name,description,purpose,report_level,authority_level_guess,visible_to_customers,tax_authority_count,tax_authorities,tax_types,dor_website,payment_website,zero_website,amended_website,dor_phone_number,is_two_factor_auth_required,requires_outlet_setup,filing_methods,filing_frequencies,frequency_examples,registration_field_count,registration_field_names,onboarding_recommendation_paths
USAKADAK,AK,AK Adak,Sales Tax Return,Use to report local sales tax and sellers use tax.,CIT,city,True,1,ADAK,Sales Tax | Sellers Use,,,,,9075924500,False,False,Paper,Monthly,"March 2026, filed in April",4,Taxpayer ID or Employer Identification Number (EIN) | Local Tax ID/Permit Number | Efile Username | Efile Password,AK: Are you registered with the Alaska Remote Sellers Sales Tax Commission (ARSSTC)? => No
USAKALAKANUK,AK,AK Alakanuk,City of Alakanuk Tax Return,Use to report local sales tax and sellers use tax.,CIT,city,True,1,ALAKANUK,Sales Tax | Sellers Use,,,,,9072383313,False,False,Paper,Monthly,"March 2026, filed in April",4,Taxpayer ID or Employer Identification Number (EIN) | Local Tax ID/Permit Number | Efile Username | Efile Password,
USAKALEKNAGIK,AK,AK Aleknagik,Monthly Sales Tax Report,Use to report local sales tax and sellers use tax monthly.,CIT,city,True,1,ALEKNAGIK,Sales Tax | Sellers Use,,,,,9078425953,False,False,Paper,Monthly,"March 2026, filed in April",4,Taxpayer ID or Employer Identification Number (EIN) | Local Tax ID/Permit Number | Efile Username | Efile Password,AK: Are you registered with the Alaska Remote Sellers Sales Tax Commission (ARSSTC)? => No
USAKANDERSON,AK,AK Anderson,Anderson Sales Tax Return,Use to report local sales tax and sellers use tax.,CIT,city,True,1,ANDERSON,Sales Tax | Sellers Use,,,,,,False,False,Paper,Quarterly,"Jan 2026 - Mar 2026, filed in April",4,Taxpayer ID or Employer Identification Number (EIN) | Local Tax ID/Permit Number | Efile Username | Efile Password,
USAKANGOON,AK,AK Angoon,Sales Tax Report (Quarterly),Use to report local sales tax and sellers use tax quarterly.,CIT,city,True,1,ANGOON,Sales Tax | Sellers Use,https://amstp.munirevs.com/,,,,,False,False,Paper | Electronic,Quarterly,"Jan 2026 - Mar 2026, filed in April",4,Taxpayer ID or Employer Identification Number (EIN) | Local Tax ID/Permit Number | Efile Username | Efile Password,AK: Are you registered with the Alaska Remote Sellers Sales Tax Commission (ARSSTC)? => No
USAKANIAK,AK,AK Aniak,Aniak Sales Tax Return,"Use to report local sales tax, sellers use tax, and consumer use tax.",CIT,city,True,1,ANIAK,Sales Tax | Sellers Use | Consumer Use,,,,,,False,False,Paper,Quarterly,"Jan 2026 - Mar 2026, filed in April",4,Taxpayer ID or Employer Identification Number (EIN) | Local Tax ID/Permit Number | Efile Username | Efile Password,
USAKBETHELMST,AK,AK Bethel,Monthly Sales Tax Report,Use to report local sales tax and sellers use tax monthly.,CIT,city,True,1,BETHEL,Sales Tax | Sellers Use,https://www.xpressbillpay.com/#/,,,,9075432047,False,False,Paper | Electronic,Monthly | Bimonthly | Annually | Occasional,"March 2026, filed in April | Mar 2026 - Apr 2026, filed in May | Jan 2026 - Dec 2026, filed in January | March 2026, filed in April",4,Taxpayer ID or Employer Identification Number (EIN) | Local Tax ID/Permit Number | Efile Username | Efile Password,
USAKBREVIG,AK,AK Brevig Mission,Seller's Monthly Sales Tax Return,Use to report local sales tax and sellers use tax monthly.,CIT,city,True,1,BREVIG MISSION,Sales Tax | Sellers Use,,,,,,False,False,Paper,Monthly,"March 2026, filed in April",4,Taxpayer ID or Employer Identification Number (EIN) | Local Tax ID/Permit Number | Efile Username | Efile Password,
USAKBUCKLAND,AK,AK Buckland,City of Buckland Tax Return,Use to report local sales tax and sellers use tax.,CIT,city,True,1,BUCKLAND,Sales Tax | Sellers Use,,,,,9074942121,False,False,Paper,Monthly | Quarterly | Annually | Occasional,"March 2026, filed in April | Jan 2026 - Mar 2026, filed in April | Jan 2026 - Dec 2026, filed in January | March 2026, filed in April",4,Taxpayer ID or Employer Identification Number (EIN) | Local Tax ID/Permit Number | Efile Username | Efile Password,
USAKCHEFORNAK,AK,AK Chefornak,City of Chefornak Tax Return,Use to report local sales tax and sellers use tax.,CIT,city,True,1,CHEFORNAK,Sales Tax | Sellers Use,,,,,9078678528,False,False,Paper,Monthly,"March 2026, filed in April",4,Taxpayer ID or Employer Identification Number (EIN) | Local Tax ID/Permit Number | Efile Username | Efile Password,
