tax_form_code,tax_form_name,legacy_return_name,description,country,region,purpose,status,effective_date,end_date,preview_image,form_master_id,form_version_id,major,minor,revision
USAKADAK,AK Adak,AKADAK,Sales Tax Return,US,AK,,PRODUCTION,2022-11-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/83180279-fb96-47c2-b540-42cd28d08211.png,10,21065830,1,0,9
USAKALAKANUK,AK Alakanuk,AKALAKANUK,City of Alakanuk Tax Return,US,AK,,PRODUCTION,1990-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/3cdd44c3-3879-43aa-9427-6c663ea575a9.png,2413,7460,1,0,0
USAKALEKNAGIK,AK Aleknagik,AKALEKNAGIK,Monthly Sales Tax Report,US,AK,,PRODUCTION,2018-10-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/9cf4a675-f1f7-4fbb-bf16-68f476282f1d.png,11,14101,1,0,4
USAKANDERSON,AK Anderson,AKANDERSON,Anderson Sales Tax Return,US,AK,,PRODUCTION,2014-09-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ec3f5a2b-fddf-4762-9677-3d73fd63d687.png,781,21108461,1,0,7
USAKANGOON,AK Angoon,AKANGOON,Sales Tax Report (Quarterly),US,AK,,PRODUCTION,2019-08-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/97acbc36-cae9-4338-b276-e4cc379b6959.png,12,21067043,1,0,10
USAKANIAK,AK Aniak,AKANIAK,Aniak Sales Tax Return,US,AK,,PRODUCTION,2012-07-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/647e1036-f124-4083-91ba-7bee97440448.png,2401,21067465,1,0,4
USAKBETHELKWETHLUK,AK Bethel Kwethluk,AKBETHELKWETHLUK,Kwethluk Sales Tax Return,US,AK,,PRODUCTION,1900-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/8ca7bf8c-7948-4b58-aaf7-15f1b8221860.png,1014974,21108855,1,0,6
USAKBETHELMST,AK Bethel,AKBETHELMST,Monthly Sales Tax Report,US,AK,,PRODUCTION,2020-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/3927e079-ec36-4ac7-b91b-8e0066ea2919.png,13,21070824,1,0,16
USAKBREVIG,AK Brevig Mission,AKBREVIG,Seller's Monthly Sales Tax Return,US,AK,,PRODUCTION,2018-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b2ef6fa1-499c-446a-97e5-b8817ace4e31.png,14,21066473,1,0,2
USAKBUCKLAND,AK Buckland,AKBUCKLAND,City of Buckland Tax Return,US,AK,,PRODUCTION,2018-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b4ce4f0b-f270-475f-8584-af3c522d7d97.png,2408,21066504,1,0,5
