country,region,tax_form_code,tax_form_name,description,purpose,visible_to_customers,report_level,authority_level_guess,form_master_id,tax_authority_count,tax_authorities,tax_authority_ids,tax_type_count,tax_types,tax_type_ids,form_image_urls,raw_form_summary
US,AK,USAKADAK,AK Adak,Sales Tax Return,Use to report local sales tax and sellers use tax.,True,CIT,city,10,1,ADAK,426,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/83180279-fb96-47c2-b540-42cd28d08211.png"",""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/515758f0-2e85-42a3-b014-e7fd04776388.png""]","{""FormMasterId"":10,""TaxFormCode"":""USAKADAK"",""TaxFormName"":""AK Adak"",""Description"":""Sales Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKALEKNAGIK,AK Aleknagik,Monthly Sales Tax Report,Use to report local sales tax and sellers use tax monthly.,True,CIT,city,11,1,ALEKNAGIK,112,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/9cf4a675-f1f7-4fbb-bf16-68f476282f1d.png""]","{""FormMasterId"":11,""TaxFormCode"":""USAKALEKNAGIK"",""TaxFormName"":""AK Aleknagik"",""Description"":""Monthly Sales Tax Report"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax monthly.""}"
US,AK,USAKANGOON,AK Angoon,Sales Tax Report (Quarterly),Use to report local sales tax and sellers use tax quarterly.,True,CIT,city,12,1,ANGOON,114,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/97acbc36-cae9-4338-b276-e4cc379b6959.png""]","{""FormMasterId"":12,""TaxFormCode"":""USAKANGOON"",""TaxFormName"":""AK Angoon"",""Description"":""Sales Tax Report (Quarterly)"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax quarterly.""}"
US,AK,USAKBETHELMST,AK Bethel,Monthly Sales Tax Report,Use to report local sales tax and sellers use tax monthly.,True,CIT,city,13,1,BETHEL,116,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/3927e079-ec36-4ac7-b91b-8e0066ea2919.png"",""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/f8204b19-ae95-4f6a-aa1d-d93296093d55.png""]","{""FormMasterId"":13,""TaxFormCode"":""USAKBETHELMST"",""TaxFormName"":""AK Bethel"",""Description"":""Monthly Sales Tax Report"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax monthly.""}"
US,AK,USAKBREVIG,AK Brevig Mission,Seller's Monthly Sales Tax Return,Use to report local sales tax and sellers use tax monthly.,True,CIT,city,14,1,BREVIG MISSION,117,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/b2ef6fa1-499c-446a-97e5-b8817ace4e31.png""]","{""FormMasterId"":14,""TaxFormCode"":""USAKBREVIG"",""TaxFormName"":""AK Brevig Mission"",""Description"":""Seller's Monthly Sales Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax monthly.""}"
US,AK,USAKCHEVAK,AK Chevak,Consumers' Tax on Sales and Services,Use to report local sales tax and sellers use tax.,True,CIT,city,15,1,CHEVAK,120,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/27be5b48-6245-4561-a4af-e25081412e9d.png""]","{""FormMasterId"":15,""TaxFormCode"":""USAKCHEVAK"",""TaxFormName"":""AK Chevak"",""Description"":""Consumers' Tax on Sales and Services"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKCORDOVA,AK Cordova,Sales Tax Return,Use to report local sales tax and sellers use tax.,True,CIT,city,16,1,CORDOVA,122,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/010936e9-3d11-427c-9a7a-759e5a212ab6.png"",""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/09f905ce-07e3-4073-b9a2-86c0f8576bb4.png""]","{""FormMasterId"":16,""TaxFormCode"":""USAKCORDOVA"",""TaxFormName"":""AK Cordova"",""Description"":""Sales Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKCRAIG,AK Craig,Sales Tax Return,"Use to report local sales tax, sellers use tax, and consumer use tax.",True,CIT,city,17,1,CRAIG,123,3,Sales Tax | Sellers Use | Consumer Use,1 | 2 | 3,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/0a8ed63d-7f9c-4ca4-8ef1-f9594bf21b65.png""]","{""FormMasterId"":17,""TaxFormCode"":""USAKCRAIG"",""TaxFormName"":""AK Craig"",""Description"":""Sales Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax, sellers use tax, and consumer use tax.""}"
US,AK,USAKDILLINGHAM10,AK Dillingham 10,City of Dillingham 10% Sales Tax Report,Use to report local 10% sales tax for alcohol and transient lodging.,True,CIT,city,18,1,DILLINGHAM,125,1,Sales Tax,1,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/adaf9edc-9583-4b52-a7cb-4cc104f9a428.png"",""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/1c98245b-3dd9-40da-a9ff-25c2fc1c1a81.png""]","{""FormMasterId"":18,""TaxFormCode"":""USAKDILLINGHAM10"",""TaxFormName"":""AK Dillingham 10"",""Description"":""City of Dillingham 10% Sales Tax Report"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local 10% sales tax for alcohol and transient lodging.""}"
US,AK,USAKEMMONAK,AK Emmonak,Consumer Tax on Sales and Services (Quarterly),Use to report local sales tax and sellers use tax quarterly.,True,CIT,city,20,1,EMMONAK,129,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/2b299465-451f-4152-bfdf-2fd87effb2b8.png""]","{""FormMasterId"":20,""TaxFormCode"":""USAKEMMONAK"",""TaxFormName"":""AK Emmonak"",""Description"":""Consumer Tax on Sales and Services (Quarterly)"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax quarterly.""}"
