tax_form_code,region,tax_form_name,description,purpose,report_level,authority_level_guess,due_day,requires_outlet_setup,is_two_factor_auth_required,is_non_billable,ach_credit_only_payment,dor_website,dor_email_address,dor_phone_number,dor_address_mail_to,dor_address_1,dor_address_2,dor_address_city,dor_address_region,dor_address_postal_code,payment_website,zero_website,amended_website,has_shared_login_credentials,outlet_reporting_method,form_type,form_image_count,tax_authority_count,tax_authorities,tax_types,filing_methods,filing_frequencies,frequency_examples,dependency_codes,optional_schedules,adjustment_codes,standard_question_count,custom_question_count,filing_method_question_count,filtered_standard_question_count,filtered_custom_question_count,registration_field_count,registration_field_names,raw_form_header
SSTMASTER,US,Master Form for SST,Master Form for SST,,,,20,False,False,False,False,,,,,,,,,,,,,False,None,Return Form,3,0,,Alcohol | All tax types | Amusement | Batteries | Bottle | Checkout Bag Fees | Consumer Use | Economic Incentive | Electronic Recycling | Excise | Gross Receipts | Hospitality | Light Bulbs | Lodging | Meals | Public Improvement Fees | Rent to Own | Rental and Leasing | Sales Tax | Sellers Use | Telecom,Paper | Electronic | Signature Ready,,,,,SSTstateCredit | Discount | MARKETPLACE | Rounding,9,0,3,3,0,3,Taxpayer ID or Employer Identification Number (EIN) | Efile Username | Efile Password,"{""FormMasterId"":3062,""TaxFormCode"":""SSTMASTER"",""LegacyReturnName"":""SSTMASTER"",""TaxFormName"":""Master Form for SST"",""Description"":""Master Form for SST"",""Country"":""US"",""Region"":""US"",""Purpose"":null,""DueDay"":20,""FiscalYearStartMonth"":1,""RequiresOutletSetup"":false,""IsTwoFactorAuthRequired"":false,""IsNonBillable"":false,""ACHCreditOnlyPayment"":false,""DORAddressMailTo"":null,""DORAddress1"":null,""DORAddress2"":null,""DORAddressCity"":null,""DORAddressRegion"":null,""DORAddressPostalCode"":null,""DORAddressCountry"":null,""DORPhoneNumber"":null,""DORFaxNumber"":null,""DORWebsite"":null,""DOREmailAddress"":null,""ZeroAddressMailTo"":null,""ZeroAddress1"":null,""ZeroAddress2"":null,""ZeroAddressCity"":null,""ZeroAddressRegion"":null,""ZeroAddressPostalCode"":null,""ZeroAddressCountry"":null,""ZeroPhoneNumber"":null,""ZeroFaxNumber"":null,""ZeroWebsite"":null,""ZeroEmailAddress"":null,""AmendedAddressMailTo"":null,""AmendedAddress1"":null,""AmendedAddress2"":null,""AmendedAddressCity"":null,""AmendedAddressRegion"":null,""AmendedAddressPostalCode"":null,""AmendedAddressCountry"":null,""AmendedPhoneNumber"":null,""AmendedFaxNumber"":null,""AmendedWebsite"":null,""AmendedEmailAddress"":null,""PaymentAddressMailTo"":null,""PaymentAddress1"":null,""PaymentAddress2"":null,""PaymentAddressCity"":null,""PaymentAddressRegion"":null,""PaymentAddressPostalCode"":null,""PaymentAddressCountry"":null,""PaymentPhoneNumber"":null,""PaymentFaxNumber"":null,""PaymentWebsite"":null,""PaymentEmailAddress"":null,""OutletReportingMethodId"":0,""OutletReportingMethod"":""None"",""FormTypeId"":3,""FormType"":""Return Form"",""AllowFilingCalendarAutoApproval"":false,""CurrencyCode"":""USD"",""PostFormDateRange"":null,""HasSharedLoginCredentials"":false}"
USAKADAK,AK,AK Adak,Sales Tax Return,Use to report local sales tax and sellers use tax.,CIT,city,-1,False,False,False,False,,accounting@adak-ak.gov,9075924500,City of Adak,PO BOX 2011,,Adak,AK,99546-2011,,,,False,None,Return Form,2,1,ADAK,Sales Tax | Sellers Use,Paper,Monthly,"March 2026, filed in April",,,Discount | MARKETPLACE | Rounding,9,2,3,3,0,4,Taxpayer ID or Employer Identification Number (EIN) | Local Tax ID/Permit Number | Efile Username | Efile Password,"{""FormMasterId"":10,""TaxFormCode"":""USAKADAK"",""LegacyReturnName"":""AKADAK"",""TaxFormName"":""AK Adak"",""Description"":""Sales Tax Return"",""Country"":""US"",""Region"":""AK"",""Purpose"":""Use to report local sales tax and sellers use tax."",""DueDay"":-1,""FiscalYearStartMonth"":1,""RequiresOutletSetup"":false,""IsTwoFactorAuthRequired"":false,""IsNonBillable"":false,""ACHCreditOnlyPayment"":false,""DORAddressMailTo"":""City of Adak"",""DORAddress1"":""PO BOX 2011"",""DORAddress2"":null,""DORAddressCity"":""Adak"",""DORAddressRegion"":""AK"",""DORAddressPostalCode"":""99546-2011"",""DORAddressCountry"":""US"",""DORPhoneNumber"":""9075924500"",""DORFaxNumber"":""9075924262"",""DORWebsite"":null,""DOREmailAddress"":""accounting@adak-ak.gov"",""ZeroAddressMailTo"":null,""ZeroAddress1"":null,""ZeroAddress2"":null,""ZeroAddressCity"":null,""ZeroAddressRegion"":null,""ZeroAddressPostalCode"":null,""ZeroAddressCountry"":null,""ZeroPhoneNumber"":null,""ZeroFaxNumber"":null,""ZeroWebsite"":null,""ZeroEmailAddress"":null,""AmendedAddressMailTo"":null,""AmendedAddress1"":null,""AmendedAddress2"":null,""AmendedAddressCity"":null,""AmendedAddressRegion"":null,""AmendedAddressPostalCode"":null,""AmendedAddressCountry"":null,""AmendedPhoneNumber"":null,""AmendedFaxNumber"":null,""AmendedWebsite"":null,""AmendedEmailAddress"":null,""PaymentAddressMailTo"":null,""PaymentAddress1"":null,""PaymentAddress2"":null,""PaymentAddressCity"":null,""PaymentAddressRegion"":null,""PaymentAddressPostalCode"":null,""PaymentAddressCountry"":null,""PaymentPhoneNumber"":null,""PaymentFaxNumber"":null,""PaymentWebsite"":null,""PaymentEmailAddress"":null,""OutletReportingMethodId"":0,""OutletReportingMethod"":""None"",""FormTypeId"":3,""FormType"":""Return Form"",""AllowFilingCalendarAutoApproval"":false,""CurrencyCode"":""USD"",""PostFormDateRange"":null,""HasSharedLoginCredentials"":false}"
USAKALAKANUK,AK,AK Alakanuk,City of Alakanuk Tax Return,Use to report local sales tax and sellers use tax.,CIT,city,20,False,False,False,False,,,9072383313,City of Alakanuk,PO BOX 167,,Alakanuk,AK,99554,,,,False,None,Return Form,1,1,ALAKANUK,Sales Tax | Sellers Use,Paper,Monthly,"March 2026, filed in April",,,Discount | MARKETPLACE | Rounding,9,1,3,3,0,4,Taxpayer ID or Employer Identification Number (EIN) | Local Tax ID/Permit Number | Efile Username | Efile Password,"{""FormMasterId"":2413,""TaxFormCode"":""USAKALAKANUK"",""LegacyReturnName"":""AKALAKANUK"",""TaxFormName"":""AK Alakanuk"",""Description"":""City of Alakanuk Tax Return"",""Country"":""US"",""Region"":""AK"",""Purpose"":""Use to report local sales tax and sellers use tax."",""DueDay"":20,""FiscalYearStartMonth"":1,""RequiresOutletSetup"":false,""IsTwoFactorAuthRequired"":false,""IsNonBillable"":false,""ACHCreditOnlyPayment"":false,""DORAddressMailTo"":""City of Alakanuk"",""DORAddress1"":""PO BOX 167"",""DORAddress2"":null,""DORAddressCity"":""Alakanuk"",""DORAddressRegion"":""AK"",""DORAddressPostalCode"":""99554"",""DORAddressCountry"":""US"",""DORPhoneNumber"":""9072383313"",""DORFaxNumber"":null,""DORWebsite"":null,""DOREmailAddress"":null,""ZeroAddressMailTo"":null,""ZeroAddress1"":null,""ZeroAddress2"":null,""ZeroAddressCity"":null,""ZeroAddressRegion"":null,""ZeroAddressPostalCode"":null,""ZeroAddressCountry"":null,""ZeroPhoneNumber"":null,""ZeroFaxNumber"":null,""ZeroWebsite"":null,""ZeroEmailAddress"":null,""AmendedAddressMailTo"":null,""AmendedAddress1"":null,""AmendedAddress2"":null,""AmendedAddressCity"":null,""AmendedAddressRegion"":null,""AmendedAddressPostalCode"":null,""AmendedAddressCountry"":null,""AmendedPhoneNumber"":null,""AmendedFaxNumber"":null,""AmendedWebsite"":null,""AmendedEmailAddress"":null,""PaymentAddressMailTo"":null,""PaymentAddress1"":null,""PaymentAddress2"":null,""PaymentAddressCity"":null,""PaymentAddressRegion"":null,""PaymentAddressPostalCode"":null,""PaymentAddressCountry"":null,""PaymentPhoneNumber"":null,""PaymentFaxNumber"":null,""PaymentWebsite"":null,""PaymentEmailAddress"":null,""OutletReportingMethodId"":0,""OutletReportingMethod"":""None"",""FormTypeId"":3,""FormType"":""Return Form"",""AllowFilingCalendarAutoApproval"":false,""CurrencyCode"":""USD"",""PostFormDateRange"":null,""HasSharedLoginCredentials"":false}"
USAKALEKNAGIK,AK,AK Aleknagik,Monthly Sales Tax Report,Use to report local sales tax and sellers use tax monthly.,CIT,city,-1,False,False,False,False,,,9078425953,City Of Aleknagik,PO Box 33,,Aleknagik,AK,99555,,,,False,None,Return Form,1,1,ALEKNAGIK,Sales Tax | Sellers Use,Paper,Monthly,"March 2026, filed in April",,,Discount | MARKETPLACE | Rounding,9,2,3,3,0,4,Taxpayer ID or Employer Identification Number (EIN) | Local Tax ID/Permit Number | Efile Username | Efile Password,"{""FormMasterId"":11,""TaxFormCode"":""USAKALEKNAGIK"",""LegacyReturnName"":""AKALEKNAGIK"",""TaxFormName"":""AK Aleknagik"",""Description"":""Monthly Sales Tax Report"",""Country"":""US"",""Region"":""AK"",""Purpose"":""Use to report local sales tax and sellers use tax monthly."",""DueDay"":-1,""FiscalYearStartMonth"":1,""RequiresOutletSetup"":false,""IsTwoFactorAuthRequired"":false,""IsNonBillable"":false,""ACHCreditOnlyPayment"":false,""DORAddressMailTo"":""City Of Aleknagik"",""DORAddress1"":""PO Box 33"",""DORAddress2"":null,""DORAddressCity"":""Aleknagik"",""DORAddressRegion"":""AK"",""DORAddressPostalCode"":""99555"",""DORAddressCountry"":""US"",""DORPhoneNumber"":""9078425953"",""DORFaxNumber"":null,""DORWebsite"":null,""DOREmailAddress"":null,""ZeroAddressMailTo"":null,""ZeroAddress1"":null,""ZeroAddress2"":null,""ZeroAddressCity"":null,""ZeroAddressRegion"":null,""ZeroAddressPostalCode"":null,""ZeroAddressCountry"":null,""ZeroPhoneNumber"":null,""ZeroFaxNumber"":null,""ZeroWebsite"":null,""ZeroEmailAddress"":null,""AmendedAddressMailTo"":null,""AmendedAddress1"":null,""AmendedAddress2"":null,""AmendedAddressCity"":null,""AmendedAddressRegion"":null,""AmendedAddressPostalCode"":null,""AmendedAddressCountry"":null,""AmendedPhoneNumber"":null,""AmendedFaxNumber"":null,""AmendedWebsite"":null,""AmendedEmailAddress"":null,""PaymentAddressMailTo"":null,""PaymentAddress1"":null,""PaymentAddress2"":null,""PaymentAddressCity"":null,""PaymentAddressRegion"":null,""PaymentAddressPostalCode"":null,""PaymentAddressCountry"":null,""PaymentPhoneNumber"":null,""PaymentFaxNumber"":null,""PaymentWebsite"":null,""PaymentEmailAddress"":null,""OutletReportingMethodId"":0,""OutletReportingMethod"":""None"",""FormTypeId"":3,""FormType"":""Return Form"",""AllowFilingCalendarAutoApproval"":false,""CurrencyCode"":""USD"",""PostFormDateRange"":null,""HasSharedLoginCredentials"":false}"
USAKANDERSON,AK,AK Anderson,Anderson Sales Tax Return,Use to report local sales tax and sellers use tax.,CIT,city,-1,False,False,False,False,,,,"Anderson, AK Sales Tax Dept.",PO Box 3100,,Anderson,AK,99744,,,,False,None,Return Form,2,1,ANDERSON,Sales Tax | Sellers Use,Paper,Quarterly,"Jan 2026 - Mar 2026, filed in April",,,Discount | MARKETPLACE | Rounding,9,1,3,3,0,4,Taxpayer ID or Employer Identification Number (EIN) | Local Tax ID/Permit Number | Efile Username | Efile Password,"{""FormMasterId"":781,""TaxFormCode"":""USAKANDERSON"",""LegacyReturnName"":""AKANDERSON"",""TaxFormName"":""AK Anderson"",""Description"":""Anderson Sales Tax Return"",""Country"":""US"",""Region"":""AK"",""Purpose"":""Use to report local sales tax and sellers use tax."",""DueDay"":-1,""FiscalYearStartMonth"":1,""RequiresOutletSetup"":false,""IsTwoFactorAuthRequired"":false,""IsNonBillable"":false,""ACHCreditOnlyPayment"":false,""DORAddressMailTo"":""Anderson, AK Sales Tax Dept."",""DORAddress1"":""PO Box 3100"",""DORAddress2"":null,""DORAddressCity"":""Anderson"",""DORAddressRegion"":""AK"",""DORAddressPostalCode"":""99744"",""DORAddressCountry"":""US"",""DORPhoneNumber"":null,""DORFaxNumber"":null,""DORWebsite"":null,""DOREmailAddress"":null,""ZeroAddressMailTo"":null,""ZeroAddress1"":null,""ZeroAddress2"":null,""ZeroAddressCity"":null,""ZeroAddressRegion"":null,""ZeroAddressPostalCode"":null,""ZeroAddressCountry"":null,""ZeroPhoneNumber"":null,""ZeroFaxNumber"":null,""ZeroWebsite"":null,""ZeroEmailAddress"":null,""AmendedAddressMailTo"":null,""AmendedAddress1"":null,""AmendedAddress2"":null,""AmendedAddressCity"":null,""AmendedAddressRegion"":null,""AmendedAddressPostalCode"":null,""AmendedAddressCountry"":null,""AmendedPhoneNumber"":null,""AmendedFaxNumber"":null,""AmendedWebsite"":null,""AmendedEmailAddress"":null,""PaymentAddressMailTo"":null,""PaymentAddress1"":null,""PaymentAddress2"":null,""PaymentAddressCity"":null,""PaymentAddressRegion"":null,""PaymentAddressPostalCode"":null,""PaymentAddressCountry"":null,""PaymentPhoneNumber"":null,""PaymentFaxNumber"":null,""PaymentWebsite"":null,""PaymentEmailAddress"":null,""OutletReportingMethodId"":0,""OutletReportingMethod"":""None"",""FormTypeId"":3,""FormType"":""Return Form"",""AllowFilingCalendarAutoApproval"":false,""CurrencyCode"":""USD"",""PostFormDateRange"":null,""HasSharedLoginCredentials"":false}"
USAKANGOON,AK,AK Angoon,Sales Tax Report (Quarterly),Use to report local sales tax and sellers use tax quarterly.,CIT,city,30,False,False,False,False,https://amstp.munirevs.com/,,,Alaska Municipal Sales Tax Program,"1 Sealaska Plaza, Ste 302",,Juneau,AK,99801,,,,False,None,Return Form,1,1,ANGOON,Sales Tax | Sellers Use,Paper | Electronic,Quarterly,"Jan 2026 - Mar 2026, filed in April",,,Discount | MARKETPLACE | Rounding,9,1,3,3,0,4,Taxpayer ID or Employer Identification Number (EIN) | Local Tax ID/Permit Number | Efile Username | Efile Password,"{""FormMasterId"":12,""TaxFormCode"":""USAKANGOON"",""LegacyReturnName"":""AKANGOON"",""TaxFormName"":""AK Angoon"",""Description"":""Sales Tax Report (Quarterly)"",""Country"":""US"",""Region"":""AK"",""Purpose"":""Use to report local sales tax and sellers use tax quarterly."",""DueDay"":30,""FiscalYearStartMonth"":1,""RequiresOutletSetup"":false,""IsTwoFactorAuthRequired"":false,""IsNonBillable"":false,""ACHCreditOnlyPayment"":false,""DORAddressMailTo"":""Alaska Municipal Sales Tax Program"",""DORAddress1"":""1 Sealaska Plaza, Ste 302"",""DORAddress2"":null,""DORAddressCity"":""Juneau"",""DORAddressRegion"":""AK"",""DORAddressPostalCode"":""99801"",""DORAddressCountry"":""US"",""DORPhoneNumber"":null,""DORFaxNumber"":null,""DORWebsite"":""https://amstp.munirevs.com/"",""DOREmailAddress"":null,""ZeroAddressMailTo"":null,""ZeroAddress1"":null,""ZeroAddress2"":null,""ZeroAddressCity"":null,""ZeroAddressRegion"":null,""ZeroAddressPostalCode"":null,""ZeroAddressCountry"":null,""ZeroPhoneNumber"":null,""ZeroFaxNumber"":null,""ZeroWebsite"":null,""ZeroEmailAddress"":null,""AmendedAddressMailTo"":null,""AmendedAddress1"":null,""AmendedAddress2"":null,""AmendedAddressCity"":null,""AmendedAddressRegion"":null,""AmendedAddressPostalCode"":null,""AmendedAddressCountry"":null,""AmendedPhoneNumber"":null,""AmendedFaxNumber"":null,""AmendedWebsite"":null,""AmendedEmailAddress"":null,""PaymentAddressMailTo"":null,""PaymentAddress1"":null,""PaymentAddress2"":null,""PaymentAddressCity"":null,""PaymentAddressRegion"":null,""PaymentAddressPostalCode"":null,""PaymentAddressCountry"":null,""PaymentPhoneNumber"":null,""PaymentFaxNumber"":null,""PaymentWebsite"":null,""PaymentEmailAddress"":null,""OutletReportingMethodId"":0,""OutletReportingMethod"":""None"",""FormTypeId"":3,""FormType"":""Return Form"",""AllowFilingCalendarAutoApproval"":false,""CurrencyCode"":""USD"",""PostFormDateRange"":null,""HasSharedLoginCredentials"":false}"
USAKANIAK,AK,AK Aniak,Aniak Sales Tax Return,"Use to report local sales tax, sellers use tax, and consumer use tax.",CIT,city,-1,False,False,False,False,,,,"City of Aniak, City Clerk",PO Box 189,,Aniak,AK,99557,,,,False,None,Return Form,1,1,ANIAK,Consumer Use | Sales Tax | Sellers Use,Paper,Quarterly,"Jan 2026 - Mar 2026, filed in April",,,Discount | MARKETPLACE | Rounding,9,2,3,3,0,4,Taxpayer ID or Employer Identification Number (EIN) | Local Tax ID/Permit Number | Efile Username | Efile Password,"{""FormMasterId"":2401,""TaxFormCode"":""USAKANIAK"",""LegacyReturnName"":""AKANIAK"",""TaxFormName"":""AK Aniak"",""Description"":""Aniak Sales Tax Return"",""Country"":""US"",""Region"":""AK"",""Purpose"":""Use to report local sales tax, sellers use tax, and consumer use tax."",""DueDay"":-1,""FiscalYearStartMonth"":1,""RequiresOutletSetup"":false,""IsTwoFactorAuthRequired"":false,""IsNonBillable"":false,""ACHCreditOnlyPayment"":false,""DORAddressMailTo"":""City of Aniak, City Clerk"",""DORAddress1"":""PO Box 189"",""DORAddress2"":null,""DORAddressCity"":""Aniak"",""DORAddressRegion"":""AK"",""DORAddressPostalCode"":""99557"",""DORAddressCountry"":""US"",""DORPhoneNumber"":null,""DORFaxNumber"":null,""DORWebsite"":null,""DOREmailAddress"":null,""ZeroAddressMailTo"":null,""ZeroAddress1"":null,""ZeroAddress2"":null,""ZeroAddressCity"":null,""ZeroAddressRegion"":null,""ZeroAddressPostalCode"":null,""ZeroAddressCountry"":null,""ZeroPhoneNumber"":null,""ZeroFaxNumber"":null,""ZeroWebsite"":null,""ZeroEmailAddress"":null,""AmendedAddressMailTo"":null,""AmendedAddress1"":null,""AmendedAddress2"":null,""AmendedAddressCity"":null,""AmendedAddressRegion"":null,""AmendedAddressPostalCode"":null,""AmendedAddressCountry"":null,""AmendedPhoneNumber"":null,""AmendedFaxNumber"":null,""AmendedWebsite"":null,""AmendedEmailAddress"":null,""PaymentAddressMailTo"":null,""PaymentAddress1"":null,""PaymentAddress2"":null,""PaymentAddressCity"":null,""PaymentAddressRegion"":null,""PaymentAddressPostalCode"":null,""PaymentAddressCountry"":null,""PaymentPhoneNumber"":null,""PaymentFaxNumber"":null,""PaymentWebsite"":null,""PaymentEmailAddress"":null,""OutletReportingMethodId"":0,""OutletReportingMethod"":""None"",""FormTypeId"":3,""FormType"":""Return Form"",""AllowFilingCalendarAutoApproval"":false,""CurrencyCode"":""USD"",""PostFormDateRange"":null,""HasSharedLoginCredentials"":false}"
USAKBETHELKWETHLUK,AK,AK Bethel Kwethluk,Kwethluk Sales Tax Return,,,,15,False,False,False,False,,,,City of Kwethluk,P.O. Box 50,,Kwethluk,AK,99621,,,,False,None,Return Form,1,1,KWETHLUK,Consumer Use | Sales Tax | Sellers Use | Telecom,Paper,,,,,Discount | MARKETPLACE | Rounding,9,0,3,3,0,3,Taxpayer ID or Employer Identification Number (EIN) | Efile Username | Efile Password,"{""FormMasterId"":1014974,""TaxFormCode"":""USAKBETHELKWETHLUK"",""LegacyReturnName"":""AKBETHELKWETHLUK"",""TaxFormName"":""AK Bethel Kwethluk"",""Description"":""Kwethluk Sales Tax Return"",""Country"":""US"",""Region"":""AK"",""Purpose"":null,""DueDay"":15,""FiscalYearStartMonth"":1,""RequiresOutletSetup"":false,""IsTwoFactorAuthRequired"":false,""IsNonBillable"":false,""ACHCreditOnlyPayment"":false,""DORAddressMailTo"":""City of Kwethluk"",""DORAddress1"":""P.O. Box 50"",""DORAddress2"":null,""DORAddressCity"":""Kwethluk"",""DORAddressRegion"":""AK"",""DORAddressPostalCode"":""99621"",""DORAddressCountry"":""USA"",""DORPhoneNumber"":null,""DORFaxNumber"":""9077576022"",""DORWebsite"":null,""DOREmailAddress"":null,""ZeroAddressMailTo"":null,""ZeroAddress1"":null,""ZeroAddress2"":null,""ZeroAddressCity"":null,""ZeroAddressRegion"":null,""ZeroAddressPostalCode"":null,""ZeroAddressCountry"":null,""ZeroPhoneNumber"":null,""ZeroFaxNumber"":null,""ZeroWebsite"":null,""ZeroEmailAddress"":null,""AmendedAddressMailTo"":null,""AmendedAddress1"":null,""AmendedAddress2"":null,""AmendedAddressCity"":null,""AmendedAddressRegion"":null,""AmendedAddressPostalCode"":null,""AmendedAddressCountry"":null,""AmendedPhoneNumber"":null,""AmendedFaxNumber"":null,""AmendedWebsite"":null,""AmendedEmailAddress"":null,""PaymentAddressMailTo"":null,""PaymentAddress1"":null,""PaymentAddress2"":null,""PaymentAddressCity"":null,""PaymentAddressRegion"":null,""PaymentAddressPostalCode"":null,""PaymentAddressCountry"":null,""PaymentPhoneNumber"":null,""PaymentFaxNumber"":null,""PaymentWebsite"":null,""PaymentEmailAddress"":null,""OutletReportingMethodId"":0,""OutletReportingMethod"":""None"",""FormTypeId"":3,""FormType"":""Return Form"",""AllowFilingCalendarAutoApproval"":false,""CurrencyCode"":""USD"",""PostFormDateRange"":null,""HasSharedLoginCredentials"":false}"
USAKBETHELMST,AK,AK Bethel,Monthly Sales Tax Report,Use to report local sales tax and sellers use tax monthly.,CIT,city,-1,False,False,False,False,https://www.xpressbillpay.com/#/,,9075432047,City of Bethel,P.O. Box 388,,Bethel,AK,99559-0388,,,,False,None,Return Form,2,1,BETHEL,Sales Tax | Sellers Use,Paper | Electronic,Monthly | Bimonthly | Annually | Occasional,"March 2026, filed in April | Mar 2026 - Apr 2026, filed in May | Jan 2026 - Dec 2026, filed in January | March 2026, filed in April",,,Discount | MARKETPLACE | Rounding,9,2,3,3,0,4,Taxpayer ID or Employer Identification Number (EIN) | Local Tax ID/Permit Number | Efile Username | Efile Password,"{""FormMasterId"":13,""TaxFormCode"":""USAKBETHELMST"",""LegacyReturnName"":""AKBETHELMST"",""TaxFormName"":""AK Bethel"",""Description"":""Monthly Sales Tax Report"",""Country"":""US"",""Region"":""AK"",""Purpose"":""Use to report local sales tax and sellers use tax monthly."",""DueDay"":-1,""FiscalYearStartMonth"":1,""RequiresOutletSetup"":false,""IsTwoFactorAuthRequired"":false,""IsNonBillable"":false,""ACHCreditOnlyPayment"":false,""DORAddressMailTo"":""City of Bethel"",""DORAddress1"":""P.O. Box 388"",""DORAddress2"":null,""DORAddressCity"":""Bethel"",""DORAddressRegion"":""AK"",""DORAddressPostalCode"":""99559-0388"",""DORAddressCountry"":""US"",""DORPhoneNumber"":""9075432047"",""DORFaxNumber"":null,""DORWebsite"":""https://www.xpressbillpay.com/#/"",""DOREmailAddress"":null,""ZeroAddressMailTo"":null,""ZeroAddress1"":null,""ZeroAddress2"":null,""ZeroAddressCity"":null,""ZeroAddressRegion"":null,""ZeroAddressPostalCode"":null,""ZeroAddressCountry"":null,""ZeroPhoneNumber"":null,""ZeroFaxNumber"":null,""ZeroWebsite"":null,""ZeroEmailAddress"":null,""AmendedAddressMailTo"":null,""AmendedAddress1"":null,""AmendedAddress2"":null,""AmendedAddressCity"":null,""AmendedAddressRegion"":null,""AmendedAddressPostalCode"":null,""AmendedAddressCountry"":null,""AmendedPhoneNumber"":null,""AmendedFaxNumber"":null,""AmendedWebsite"":null,""AmendedEmailAddress"":null,""PaymentAddressMailTo"":null,""PaymentAddress1"":null,""PaymentAddress2"":null,""PaymentAddressCity"":null,""PaymentAddressRegion"":null,""PaymentAddressPostalCode"":null,""PaymentAddressCountry"":null,""PaymentPhoneNumber"":null,""PaymentFaxNumber"":null,""PaymentWebsite"":null,""PaymentEmailAddress"":null,""OutletReportingMethodId"":0,""OutletReportingMethod"":""None"",""FormTypeId"":3,""FormType"":""Return Form"",""AllowFilingCalendarAutoApproval"":false,""CurrencyCode"":""USD"",""PostFormDateRange"":null,""HasSharedLoginCredentials"":false}"
USAKBREVIG,AK,AK Brevig Mission,Seller's Monthly Sales Tax Return,Use to report local sales tax and sellers use tax monthly.,CIT,city,10,False,False,False,False,,,,City of Brevig Mission,PO BOX 85021,,Brevig Mission,AK,99785,,,,False,None,Return Form,1,1,BREVIG MISSION,Sales Tax | Sellers Use,Paper,Monthly,"March 2026, filed in April",,,Discount | MARKETPLACE | Rounding,9,1,3,3,0,4,Taxpayer ID or Employer Identification Number (EIN) | Local Tax ID/Permit Number | Efile Username | Efile Password,"{""FormMasterId"":14,""TaxFormCode"":""USAKBREVIG"",""LegacyReturnName"":""AKBREVIG"",""TaxFormName"":""AK Brevig Mission"",""Description"":""Seller's Monthly Sales Tax Return"",""Country"":""US"",""Region"":""AK"",""Purpose"":""Use to report local sales tax and sellers use tax monthly."",""DueDay"":10,""FiscalYearStartMonth"":1,""RequiresOutletSetup"":false,""IsTwoFactorAuthRequired"":false,""IsNonBillable"":false,""ACHCreditOnlyPayment"":false,""DORAddressMailTo"":""City of Brevig Mission"",""DORAddress1"":""PO BOX 85021"",""DORAddress2"":null,""DORAddressCity"":""Brevig Mission"",""DORAddressRegion"":""AK"",""DORAddressPostalCode"":""99785"",""DORAddressCountry"":""US"",""DORPhoneNumber"":null,""DORFaxNumber"":null,""DORWebsite"":null,""DOREmailAddress"":null,""ZeroAddressMailTo"":null,""ZeroAddress1"":null,""ZeroAddress2"":null,""ZeroAddressCity"":null,""ZeroAddressRegion"":null,""ZeroAddressPostalCode"":null,""ZeroAddressCountry"":null,""ZeroPhoneNumber"":null,""ZeroFaxNumber"":null,""ZeroWebsite"":null,""ZeroEmailAddress"":null,""AmendedAddressMailTo"":null,""AmendedAddress1"":null,""AmendedAddress2"":null,""AmendedAddressCity"":null,""AmendedAddressRegion"":null,""AmendedAddressPostalCode"":null,""AmendedAddressCountry"":null,""AmendedPhoneNumber"":null,""AmendedFaxNumber"":null,""AmendedWebsite"":null,""AmendedEmailAddress"":null,""PaymentAddressMailTo"":null,""PaymentAddress1"":null,""PaymentAddress2"":null,""PaymentAddressCity"":null,""PaymentAddressRegion"":null,""PaymentAddressPostalCode"":null,""PaymentAddressCountry"":null,""PaymentPhoneNumber"":null,""PaymentFaxNumber"":null,""PaymentWebsite"":null,""PaymentEmailAddress"":null,""OutletReportingMethodId"":0,""OutletReportingMethod"":""None"",""FormTypeId"":3,""FormType"":""Return Form"",""AllowFilingCalendarAutoApproval"":false,""CurrencyCode"":""USD"",""PostFormDateRange"":null,""HasSharedLoginCredentials"":false}"
