tax_form_code,region,tax_form_name,section,filing_question_id,sort_order,question,gr_label,filing_question_code,destination,required,data_type,max_length,regex,json_path,internal_only,help_text,inline_help_text,raw_question
SSTMASTER,US,Master Form for SST,standard,36,13,Taxpayer ID or Employer Identification Number (EIN),Taxpayer ID or Employer Identification Number (EIN),EIN,Ein,True,STRING,12,^(?:(?!([0-9])\1{8}$)\d{9}|\d{3}-\d{2}-\d{4}|[A-Za-z0-9]{2}-?(?!([0-9])\2{6}$)\d{7})$,TaxpayerProfile.FEIN,False,A taxpayer ID or Employer Identification Number (EIN) is a unique identifier the IRS gives to U.S. companies for tax reporting. This number is nine digits in length. The first two digits are alpha-numeric. You may include or exclude the dash when entering your EIN in this field. <br> Examples: <br> 12-3456789 or TF-3456789 <br> 123456789 or TF3456789 <br> <br>,,"{""FilingQuestionId"":36,""SortOrder"":13,""Question"":""Taxpayer ID or Employer Identification Number (EIN)"",""HelpText"":""A taxpayer ID or Employer Identification Number (EIN) is a unique identifier the IRS gives to U.S. companies for tax reporting. This number is nine digits in length. The first two digits are alpha-numeric. You may include or exclude the dash when entering your EIN in this field. <br>\nExamples:  <br>\n12-3456789  or TF-3456789 <br>\n123456789 or TF3456789  <br>\n<br>"",""Destination"":""Ein"",""Required"":true,""SkyscraperValidationRequired"":null,""HideForFilingMethodId"":null,""HideForFilingMethod"":null,""DataType"":""STRING"",""MaxLength"":12,""Regex"":""^(?:(?!([0-9])\\1{8}$)\\d{9}|\\d{3}-\\d{2}-\\d{4}|[A-Za-z0-9]{2}-?(?!([0-9])\\2{6}$)\\d{7})$"",""FilingQuestionCode"":""EIN"",""JsonPath"":""TaxpayerProfile.FEIN"",""InternalOnly"":false,""SkyscraperFieldName"":"""",""DefaultAnswer"":"""",""InlineHelpText"":null,""PlaceholderText"":null,""GRLabel"":""Taxpayer ID or Employer Identification Number (EIN)""}"
SSTMASTER,US,Master Form for SST,filing_method,26,4,Efile Username,Username or User Id,EfileUsername,EfileUsername,True,STRING,50,,,False,,,"{""FilingQuestionId"":26,""SortOrder"":4,""Question"":""Efile Username"",""HelpText"":"""",""Destination"":""EfileUsername"",""Required"":true,""SkyscraperValidationRequired"":null,""HideForFilingMethodId"":1,""HideForFilingMethod"":""Paper"",""DataType"":""STRING"",""MaxLength"":50,""Regex"":"""",""FilingQuestionCode"":""EfileUsername"",""JsonPath"":null,""InternalOnly"":false,""SkyscraperFieldName"":null,""DefaultAnswer"":null,""InlineHelpText"":null,""PlaceholderText"":null,""GRLabel"":""Username or User Id""}"
SSTMASTER,US,Master Form for SST,filing_method,27,5,Efile Password,Password,EfilePassword,EfilePassword,True,STRING,40,,,False,,,"{""FilingQuestionId"":27,""SortOrder"":5,""Question"":""Efile Password"",""HelpText"":"""",""Destination"":""EfilePassword"",""Required"":true,""SkyscraperValidationRequired"":null,""HideForFilingMethodId"":1,""HideForFilingMethod"":""Paper"",""DataType"":""STRING"",""MaxLength"":40,""Regex"":"""",""FilingQuestionCode"":""EfilePassword"",""JsonPath"":null,""InternalOnly"":false,""SkyscraperFieldName"":null,""DefaultAnswer"":null,""InlineHelpText"":null,""PlaceholderText"":null,""GRLabel"":""Password""}"
USAKADAK,AK,AK Adak,standard,36,13,Taxpayer ID or Employer Identification Number (EIN),Taxpayer ID or Employer Identification Number (EIN),EIN,Ein,True,STRING,12,^(?:(?!([0-9])\1{8}$)\d{9}|\d{3}-\d{2}-\d{4}|[A-Za-z0-9]{2}-?(?!([0-9])\2{6}$)\d{7})$,TaxpayerProfile.FEIN,False,A taxpayer ID or Employer Identification Number (EIN) is a unique identifier the IRS gives to U.S. companies for tax reporting. This number is nine digits in length. The first two digits are alpha-numeric. You may include or exclude the dash when entering your EIN in this field. <br> Examples: <br> 12-3456789 or TF-3456789 <br> 123456789 or TF3456789 <br> <br>,,"{""FilingQuestionId"":36,""SortOrder"":13,""Question"":""Taxpayer ID or Employer Identification Number (EIN)"",""HelpText"":""A taxpayer ID or Employer Identification Number (EIN) is a unique identifier the IRS gives to U.S. companies for tax reporting. This number is nine digits in length. The first two digits are alpha-numeric. You may include or exclude the dash when entering your EIN in this field. <br>\nExamples:  <br>\n12-3456789  or TF-3456789 <br>\n123456789 or TF3456789  <br>\n<br>"",""Destination"":""Ein"",""Required"":true,""SkyscraperValidationRequired"":null,""HideForFilingMethodId"":null,""HideForFilingMethod"":null,""DataType"":""STRING"",""MaxLength"":12,""Regex"":""^(?:(?!([0-9])\\1{8}$)\\d{9}|\\d{3}-\\d{2}-\\d{4}|[A-Za-z0-9]{2}-?(?!([0-9])\\2{6}$)\\d{7})$"",""FilingQuestionCode"":""EIN"",""JsonPath"":""TaxpayerProfile.FEIN"",""InternalOnly"":false,""SkyscraperFieldName"":"""",""DefaultAnswer"":"""",""InlineHelpText"":null,""PlaceholderText"":null,""GRLabel"":""Taxpayer ID or Employer Identification Number (EIN)""}"
USAKADAK,AK,AK Adak,custom,39,1,Local Tax ID/Permit Number,,LocalSalesTaxIDPermit#,LocalRegistrationId,True,STRING,50,,TaxpayerFormProfile.LocalRegistrationId,False,This form requires an ID number for the relevant local jurisdiction where you're collecting and remitting sales tax as well as the state. Enter your tax registration number for the local jurisdiction.,,"{""FilingQuestionId"":39,""SortOrder"":1,""Question"":""Local Tax ID/Permit Number"",""HelpText"":""This form requires an ID number for the relevant local jurisdiction where you're collecting and remitting sales tax as well as the state. Enter your tax registration number for the local jurisdiction."",""Destination"":""LocalRegistrationId"",""Required"":true,""SkyscraperValidationRequired"":false,""HideForFilingMethodId"":null,""HideForFilingMethod"":null,""DataType"":""STRING"",""MaxLength"":50,""Regex"":"""",""FilingQuestionCode"":""LocalSalesTaxIDPermit#"",""JsonPath"":""TaxpayerFormProfile.LocalRegistrationId"",""InternalOnly"":false,""SkyscraperFieldName"":null,""DefaultAnswer"":"""",""InlineHelpText"":null,""PlaceholderText"":null}"
USAKADAK,AK,AK Adak,filing_method,26,4,Efile Username,Username or User Id,EfileUsername,EfileUsername,True,STRING,50,,,False,,,"{""FilingQuestionId"":26,""SortOrder"":4,""Question"":""Efile Username"",""HelpText"":"""",""Destination"":""EfileUsername"",""Required"":true,""SkyscraperValidationRequired"":null,""HideForFilingMethodId"":1,""HideForFilingMethod"":""Paper"",""DataType"":""STRING"",""MaxLength"":50,""Regex"":"""",""FilingQuestionCode"":""EfileUsername"",""JsonPath"":null,""InternalOnly"":false,""SkyscraperFieldName"":null,""DefaultAnswer"":null,""InlineHelpText"":null,""PlaceholderText"":null,""GRLabel"":""Username or User Id""}"
USAKADAK,AK,AK Adak,filing_method,27,5,Efile Password,Password,EfilePassword,EfilePassword,True,STRING,40,,,False,,,"{""FilingQuestionId"":27,""SortOrder"":5,""Question"":""Efile Password"",""HelpText"":"""",""Destination"":""EfilePassword"",""Required"":true,""SkyscraperValidationRequired"":null,""HideForFilingMethodId"":1,""HideForFilingMethod"":""Paper"",""DataType"":""STRING"",""MaxLength"":40,""Regex"":"""",""FilingQuestionCode"":""EfilePassword"",""JsonPath"":null,""InternalOnly"":false,""SkyscraperFieldName"":null,""DefaultAnswer"":null,""InlineHelpText"":null,""PlaceholderText"":null,""GRLabel"":""Password""}"
USAKALAKANUK,AK,AK Alakanuk,standard,36,13,Taxpayer ID or Employer Identification Number (EIN),Taxpayer ID or Employer Identification Number (EIN),EIN,Ein,True,STRING,12,^(?:(?!([0-9])\1{8}$)\d{9}|\d{3}-\d{2}-\d{4}|[A-Za-z0-9]{2}-?(?!([0-9])\2{6}$)\d{7})$,TaxpayerProfile.FEIN,False,A taxpayer ID or Employer Identification Number (EIN) is a unique identifier the IRS gives to U.S. companies for tax reporting. This number is nine digits in length. The first two digits are alpha-numeric. You may include or exclude the dash when entering your EIN in this field. <br> Examples: <br> 12-3456789 or TF-3456789 <br> 123456789 or TF3456789 <br> <br>,,"{""FilingQuestionId"":36,""SortOrder"":13,""Question"":""Taxpayer ID or Employer Identification Number (EIN)"",""HelpText"":""A taxpayer ID or Employer Identification Number (EIN) is a unique identifier the IRS gives to U.S. companies for tax reporting. This number is nine digits in length. The first two digits are alpha-numeric. You may include or exclude the dash when entering your EIN in this field. <br>\nExamples:  <br>\n12-3456789  or TF-3456789 <br>\n123456789 or TF3456789  <br>\n<br>"",""Destination"":""Ein"",""Required"":true,""SkyscraperValidationRequired"":null,""HideForFilingMethodId"":null,""HideForFilingMethod"":null,""DataType"":""STRING"",""MaxLength"":12,""Regex"":""^(?:(?!([0-9])\\1{8}$)\\d{9}|\\d{3}-\\d{2}-\\d{4}|[A-Za-z0-9]{2}-?(?!([0-9])\\2{6}$)\\d{7})$"",""FilingQuestionCode"":""EIN"",""JsonPath"":""TaxpayerProfile.FEIN"",""InternalOnly"":false,""SkyscraperFieldName"":"""",""DefaultAnswer"":"""",""InlineHelpText"":null,""PlaceholderText"":null,""GRLabel"":""Taxpayer ID or Employer Identification Number (EIN)""}"
USAKALAKANUK,AK,AK Alakanuk,custom,39,1,Local Tax ID/Permit Number,,LocalSalesTaxIDPermit#,LocalRegistrationId,True,STRING,50,,TaxpayerFormProfile.LocalRegistrationId,False,This form requires an ID number for the relevant local jurisdiction where you're collecting and remitting sales tax as well as the state. Enter your tax registration number for the local jurisdiction.,,"{""FilingQuestionId"":39,""SortOrder"":1,""Question"":""Local Tax ID/Permit Number"",""HelpText"":""This form requires an ID number for the relevant local jurisdiction where you're collecting and remitting sales tax as well as the state. Enter your tax registration number for the local jurisdiction."",""Destination"":""LocalRegistrationId"",""Required"":true,""SkyscraperValidationRequired"":false,""HideForFilingMethodId"":null,""HideForFilingMethod"":null,""DataType"":""STRING"",""MaxLength"":50,""Regex"":"""",""FilingQuestionCode"":""LocalSalesTaxIDPermit#"",""JsonPath"":""TaxpayerFormProfile.LocalRegistrationId"",""InternalOnly"":false,""SkyscraperFieldName"":null,""DefaultAnswer"":"""",""InlineHelpText"":null,""PlaceholderText"":null}"
USAKALAKANUK,AK,AK Alakanuk,filing_method,26,4,Efile Username,Username or User Id,EfileUsername,EfileUsername,True,STRING,50,,,False,,,"{""FilingQuestionId"":26,""SortOrder"":4,""Question"":""Efile Username"",""HelpText"":"""",""Destination"":""EfileUsername"",""Required"":true,""SkyscraperValidationRequired"":null,""HideForFilingMethodId"":1,""HideForFilingMethod"":""Paper"",""DataType"":""STRING"",""MaxLength"":50,""Regex"":"""",""FilingQuestionCode"":""EfileUsername"",""JsonPath"":null,""InternalOnly"":false,""SkyscraperFieldName"":null,""DefaultAnswer"":null,""InlineHelpText"":null,""PlaceholderText"":null,""GRLabel"":""Username or User Id""}"
