relative_path,file_id,size_bytes,modified,download_path
IA Representative Certification Form.pdf,1Vwlzl7l2g-FbuWGg6KgsqwgEBgu7eZAr,4229646,1/15/2026 4:46:23 PM,/GoogleDrive/DownloadFile/1Vwlzl7l2g-FbuWGg6KgsqwgEBgu7eZAr
IA Rep Certificate - Signed.pdf,12vQXktqd8534ncEAKYOvY4S0BGi5P5rh,7235518,12/4/2025 9:55:41 PM,/GoogleDrive/DownloadFile/12vQXktqd8534ncEAKYOvY4S0BGi5P5rh
De-Registration Project/Paper Submissions/Sent via Fax/WI De-Registration Cover Letter.pdf,12buFriRtSrPsmwxz0wpEnVDoPBYj5yFS,1106355,2/4/2026 1:45:54 AM,/GoogleDrive/DownloadFile/12buFriRtSrPsmwxz0wpEnVDoPBYj5yFS
De-Registration Project/Paper Submissions/Sent via Fax/WY - Business Discontinuation.pdf,1JX-jHOggrPaEXDdN81pIlw2KHWcvE3K8,158390,2/4/2026 1:45:54 AM,/GoogleDrive/DownloadFile/1JX-jHOggrPaEXDdN81pIlw2KHWcvE3K8
De-Registration Project/Paper Submissions/Sent via Fax/OK De-Registration Cover Letter.pdf,1BONjo4rg5w2usbCwiAfAvQCpqincR1UD,1106345,2/4/2026 1:45:54 AM,/GoogleDrive/DownloadFile/1BONjo4rg5w2usbCwiAfAvQCpqincR1UD
De-Registration Project/Paper Submissions/Sent via Fax/UT De-Registration Cover Letter.pdf,1Dxp0wN2Bjz-hUGSuDiM0rQa-mo2g107a,1106366,2/4/2026 1:45:54 AM,/GoogleDrive/DownloadFile/1Dxp0wN2Bjz-hUGSuDiM0rQa-mo2g107a
De-Registration Project/Paper Submissions/Sent via Fax/WY De-Registration Cover Letter.pdf,1unLs_oZATgczm-bW6W4FD0sPnLybxnOE,1106373,2/4/2026 1:45:54 AM,/GoogleDrive/DownloadFile/1unLs_oZATgczm-bW6W4FD0sPnLybxnOE
De-Registration Project/Paper Submissions/Sent via Fax/SD De-Registration Cover Letter.pdf,1hhrfvDcfEbXmff4Lhka0ChibQP7eFjm2,1106355,2/4/2026 1:45:54 AM,/GoogleDrive/DownloadFile/1hhrfvDcfEbXmff4Lhka0ChibQP7eFjm2
De-Registration Project/Paper Submissions/Sent via Fax/WA Change of Business Information Form.pdf,1mz2hgyOgVl74ZYBOUDkJUF4kv2TeJDqr,528079,2/4/2026 1:45:54 AM,/GoogleDrive/DownloadFile/1mz2hgyOgVl74ZYBOUDkJUF4kv2TeJDqr
De-Registration Project/Paper Submissions/Sent via Fax/NM De-Registration Cover Letter.pdf,1MpvJOCnGgoyIRF_Q3_hF-8mxCMXesYyv,1106494,2/4/2026 1:45:54 AM,/GoogleDrive/DownloadFile/1MpvJOCnGgoyIRF_Q3_hF-8mxCMXesYyv
De-Registration Project/Paper Submissions/Sent via Fax/WI - A-222 Power of Attorney.pdf,1dRLrgvnZrytrdbi-bY_d_l_XF5CfbLg0,1406328,2/4/2026 1:45:54 AM,/GoogleDrive/DownloadFile/1dRLrgvnZrytrdbi-bY_d_l_XF5CfbLg0
De-Registration Project/Paper Submissions/Sent via Fax/NV De-Registration Cover Letter.pdf,16uQTR1wvjQ9mq4EPyzwkkcAUeEcsUX23,1105811,2/4/2026 1:45:54 AM,/GoogleDrive/DownloadFile/16uQTR1wvjQ9mq4EPyzwkkcAUeEcsUX23
De-Registration Project/Paper Submissions/Sent via Fax/UT Notice of Change for a Tax Account.pdf,1z0hCNZaXyCxWOZM3WG4zTJwO6d9PAJNS,822816,2/4/2026 1:45:54 AM,/GoogleDrive/DownloadFile/1z0hCNZaXyCxWOZM3WG4zTJwO6d9PAJNS
De-Registration Project/Paper Submissions/Sent via Fax/WA De-Registration Cover Letter.pdf,1WW03mhCRv1uPOiWDbI6XdLZRc1hS87Bv,1106323,2/4/2026 1:45:54 AM,/GoogleDrive/DownloadFile/1WW03mhCRv1uPOiWDbI6XdLZRc1hS87Bv
